,V1,V2,mean,variance
452,2.5225,0,0.041695,0.000000
453,2.5225,0.1,0.046901,0.000000
454,2.5225,0.2,0.052546,0.000000
455,2.5225,0.3,0.058645,0.000000
456,2.5225,0.4,0.065207,0.000001
457,2.5225,0.5,0.072243,0.000001
458,2.5225,0.6,0.079758,0.000001
459,2.5225,0.7,0.087757,0.000001
460,2.5225,0.8,0.096240,0.000002
461,2.5225,0.9,0.105204,0.000002
462,2.5225,1,0.114644,0.000003
463,2.5225,1.1,0.124550,0.000003
464,2.5225,1.2,0.134909,0.000004
465,2.5225,1.3,0.145707,0.000005
466,2.5225,1.4,0.156924,0.000006
467,2.5225,1.5,0.168538,0.000008
468,2.5225,1.6,0.180524,0.000009
469,2.5225,1.7,0.192857,0.000011
470,2.5225,1.8,0.205508,0.000012
471,2.5225,1.9,0.218445,0.000014
472,2.5225,2,0.231639,0.000016
473,2.5225,2.1,0.245056,0.000019
474,2.5225,2.2,0.258665,0.000021
475,2.5225,2.3,0.272433,0.000023
476,2.5225,2.4,0.286328,0.000026
477,2.5225,2.5,0.300320,0.000029
478,2.5225,2.6,0.314379,0.000031
479,2.5225,2.7,0.328475,0.000034
480,2.5225,2.8,0.342583,0.000037
481,2.5225,2.9,0.356676,0.000040
482,2.5225,3,0.370733,0.000042
483,2.5225,3.1,0.384730,0.000045
484,2.5225,3.2,0.398649,0.000048
485,2.5225,3.3,0.412471,0.000050
486,2.5225,3.4,0.426179,0.000053
487,2.5225,3.5,0.439760,0.000055
488,2.5225,3.6,0.453200,0.000057
489,2.5225,3.7,0.466485,0.000060
490,2.5225,3.8,0.479604,0.000062
491,2.5225,3.9,0.492546,0.000063
492,2.5225,4,0.505301,0.000065
493,2.7049,0,0.041584,0.000000
494,2.7049,0.1,0.046767,0.000000
495,2.7049,0.2,0.052386,0.000000
496,2.7049,0.3,0.058456,0.000000
497,2.7049,0.4,0.064987,0.000001
498,2.7049,0.5,0.071989,0.000001
499,2.7049,0.6,0.079468,0.000001
500,2.7049,0.7,0.087428,0.000001
501,2.7049,0.8,0.095870,0.000002
502,2.7049,0.9,0.104791,0.000003
503,2.7049,1,0.114185,0.000003
504,2.7049,1.1,0.124043,0.000004
505,2.7049,1.2,0.134354,0.000005
506,2.7049,1.3,0.145101,0.000006
507,2.7049,1.4,0.156266,0.000008
508,2.7049,1.5,0.167828,0.000009
509,2.7049,1.6,0.179762,0.000011
510,2.7049,1.7,0.192042,0.000013
511,2.7049,1.8,0.204640,0.000015
512,2.7049,1.9,0.217525,0.000017
513,2.7049,2,0.230667,0.000019
514,2.7049,2.1,0.244034,0.000022
515,2.7049,2.2,0.257593,0.000025
516,2.7049,2.3,0.271314,0.000028
517,2.7049,2.4,0.285163,0.000031
518,2.7049,2.5,0.299110,0.000034
519,2.7049,2.6,0.313126,0.000037
520,2.7049,2.7,0.327182,0.000040
521,2.7049,2.8,0.341252,0.000044
522,2.7049,2.9,0.355310,0.000047
523,2.7049,3,0.369332,0.000050
